agcCnt_01,jamInd_01,noisePerMS_01,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,pDOP,avg_snr_L1,pseudorange_std_dev,label
5616,8.050959637,97.01950126,11.13102265,0.003507344,0.00381772,-0.003192028,0.154864291,0.293273229,0.050987884,0.010101651,-4929.308123,6792636.94,0
5616,10.98581498,97.01288559,11.17157676,-0.001222179,0.002993413,0.009794534,0.160923145,0.310381402,0.064815232,0.010202316,-2196.120832,6724078.891,0
5616,11.06644863,97.000831,11.06267929,-0.002106806,0.004003803,0.015186301,0.154885245,0.293248718,0.065936763,0.010101076,-4335.234914,6796961.634,0
5616,9.156252945,96.99098436,11.02309809,0.002487461,0.00109977,-0.002149581,0.153933247,0.292918669,0.048262204,0.010095809,851.9522306,6726068.672,0
5616,9.975977389,97.00973036,11.14645429,0.00414372,0.004711462,0.008332083,0.154973914,0.294246181,0.053468791,0.010099665,8815.910136,6796559.271,0
5616,7.975979073,97.00548357,11.06662466,0.001655136,-0.002874912,0.004422579,0.155101976,0.294270357,0.046209287,0.010097507,-5607.759946,6724474.476,0
5616,9.162016951,97.01247531,11.01200353,-0.00587449,-0.002570886,0.018475122,0.153960879,0.292559523,0.068037318,0.010099563,7377.148677,6794358.871,0
5616,8.078733805,97.00885168,11.13060705,0.003600437,0.003867034,-0.002778964,0.154806851,0.293470975,0.051549556,0.010102114,-5685.440914,6793421.738,0
5616,13.95183499,97.01462645,11.11493069,0.001279585,-0.008103073,-0.008332719,0.161138874,0.312468581,0.053885234,0.010200658,-6168.891651,6723099.46,0
5616,8.055663127,96.99254102,11.0287458,-0.000121659,-0.006866307,0.009935866,0.153898032,0.292502369,0.0523782,0.010102477,6041.290044,6724513.923,0
5616,7.952456363,97.01835906,11.01129204,-0.00702418,-0.000995223,0.004724283,0.153992847,0.292101394,0.050894322,0.010100737,595153.9426,6795505.76,0
5616,5.95221916,97.00275373,11.04076626,-0.007657637,-0.001296708,0.003332409,0.155054394,0.2940112,0.050158124,0.010097199,6281.990641,6724567.493,0
5616,6.024823753,97.02892061,11.04074746,-0.008332386,-0.001207928,0.00300398,0.155024315,0.294303723,0.049958339,0.010094562,-9600.338848,6724559.792,0
